"","x"
"1","AGAB_01_EKDL210009123-1a-AK19113-AK23731_HTVH3DSX2_L3"
"2","AGAB_02_EKDL210009123-1a-AK19007-AK23732_HTVH3DSX2_L3"
"3","AGAB_03_EKDL210004790-1a-AK11377-AK16262_HHJYYDSX2_L3"
"4","AGAB_04_EKDL210004789-1a-AK11677-AK5989_HHJYYDSX2_L2"
"5","AGAB_05_EKDL210004789-1a-AK11659-AK16242_HHJYYDSX2_L2"
"6","AGAB_06_EKDL200012859-1a-AK11456-AK16260_HNLVYDSXY_L1"
"7","AGAB_07_01_EKDL200012859-1a-AK11401-AK7949_HNLVYDSXY_L1"
"8","AGAB_08_EKDL210004788-1a-AK11464-AK16277_HHJYYDSX2_L1"
"9","AGAB_10_EKDL210004788-1a-GG04-AK5420_HHJYYDSX2_L1"
"10","AGAB_11_EKDL210004790-1a-AK11471-AK16271_HHJYYDSX2_L3"
"11","AGAB_13_EKDL200012859-1a-AK11640-AK16265_HNLVYDSXY_L1"
"12","AGAB_14_EKDL200012859-1a-AK12637-AK16268_HNLVYDSXY_L1"
"13","AGAB_15_EKDL210004788-1a-AK11416-AK16269_HHJYYDSX2_L1"
"14","AGAB_18_EKDL200012859-1a-AK11718-AK16243_HNLVYDSXY_L1"
"15","AGAB_19_EKDL210004789-1a-AK11690-AK16231_HHJYYDSX2_L2"
"16","AGAB_20_EKDL210005548-1a-AK11178-AK16246_HHJKNDSX2_L4"
"17","AGAB_23_EKDL200012859-1a-AK11195-AK16227_HNLVYDSXY_L1"
"18","AGAB_24_EKDL210009123-1a-AK19137-AK23734_HTVH3DSX2_L3"
"19","AGAB_99_EKDL200012859-1a-AK11506-AK16290_HNLVYDSXY_L1"
"20","BARR_01_EKDL210005548-1a-AK11598-AK16273_HHJKNDSX2_L4"
"21","BARR_02_EKDL210004789-1a-AK11506-AK16290_HHJYYDSX2_L2"
"22","BARR_03_EKDL200012859-1a-AK11428-AK16253_HNLVYDSXY_L1"
"23","BARR_04_EKDL210004790-1a-AK11710-AK16288_HHJYYDSX2_L3"
"24","BARR_06_EKDL210005548-1a-AK11456-AK16260_HHJKNDSX2_L4"
"25","BARR_07_EKDL210004788-1a-AK11160-AK9453_HHJYYDSX2_L1"
"26","BARR_08_EKDL210005548-1a-AK11426-AK5939_HHJKNDSX2_L4"
"27","BARR_09_EKDL210004790-1a-AK11677-AK5989_HHJYYDSX2_L3"
"28","BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2"
"29","BARR_11_EKDL210004789-1a-AK11177-AK16280_HHJYYDSX2_L2"
"30","BARR_12_EKDL200012859-1a-AK11460-AK16272_HNLVYDSXY_L1"
"31","BARR_13_EKDL200012859-1a-AK7415-AK16289_HNLVYDSXY_L1"
"32","BARR_14_EKDL200012859-1a-AK11667-AK16287_HNLVYDSXY_L1"
"33","BARR_15_EKDL200012859-1a-AK11171-AK16279_HNLVYDSXY_L1"
"34","BOVA_01_EKDL200012859-1a-AK11177-AK16280_HNLVYDSXY_L1"
"35","BOVA_02_EKDL210009123-1a-AK27221-AK31193_HTVH3DSX2_L3"
"36","BOVA_03_EKDL210009123-1a-AK18987-AK34204_HTVH3DSX2_L3"
"37","BOVA_04_EKDL210004790-1a-AK11608-AK2002_HHJYYDSX2_L3"
"38","BOVA_05_EKDL210004789-1a-AK11416-AK16269_HHJYYDSX2_L2"
"39","BOVA_06_EKDL210004789-1a-AK11572-AK16283_HHJYYDSX2_L2"
"40","BOVA_07_EKDL210005548-1a-AK7685-AK16294_HHJKNDSX2_L4"
"41","BOVA_08_EKDL210004789-1a-AK11401-AK7949_HHJYYDSX2_L2"
"42","BOVA_09_EKDL210009123-1a-AK23715-AK23716_HTVH3DSX2_L3"
"43","BOVA_10_EKDL210009123-1a-AK18629-AK15913_HTVH3DSX2_L3"
"44","BOVA_11_EKDL210009122-1a-AK31162-AK31163_HTVH3DSX2_L3"
"45","BOVA_12_EKDL210004788-1a-AK11608-AK2002_HHJYYDSX2_L1"
"46","BOVA_13_EKDL200012859-1a-AK11246-AK16274_HNLVYDSXY_L1"
"47","BOVA_14_EKDL210004788-1a-AK11387-AK16228_HHJYYDSX2_L1"
"48","BOVA_15_EKDL210009122-1a-AK19045-AK31153_HTVH3DSX2_L3"
"49","BOVA_16_EKDL210005548-1a-AK11692-AK16230_HHJKNDSX2_L4"
"50","BOVA_17_EKDL210009122-1a-AK19289-AK31141_HTVH3DSX2_L3"
"51","BOVA_18_EKDL210009122-1a-AK19173-AK31131_HTVH3DSX2_L3"
"52","BOVA_19_EKDL210009122-1a-AK31121-AK31122_HTVH3DSX2_L3"
"53","BOVA_20_EKDL210009122-1a-AK31108-AK31109_HTVH3DSX2_L3"
"54","BUNN_01_EKDL210009123-1a-AK19109-AK31194_HTVH3DSX2_L3"
"55","BUNN_02_EKDL210009123-1a-AK18986-AK34202_HTVH3DSX2_L3"
"56","BUNN_03_EKDL210009123-1a-AK19003-AK23702_HTVH3DSX2_L3"
"57","BUNN_04_EKDL210009123-1a-AK19133-AK18842_HTVH3DSX2_L3"
"58","BUNN_05_EKDL210009123-1a-AK23704-AK22953_HTVH3DSX2_L3"
"59","BUNN_06_EKDL210007863-1a-AK19056-AK23721_HLNT5DSX2_L2"
"60","BUNN_07_EKDL210007863-1a-AK23722-AK23723_HLNT5DSX2_L2"
"61","BUNN_08_EKDL210007863-1a-AK19172-AK23724_HLNT5DSX2_L2"
"62","BUNN_09_EKDL210007863-1a-AK18636-AK23725_HLNT5DSX2_L2"
"63","BUNN_10_EKDL210007863-1a-AK19054-AK23703_HLNT5DSX2_L2"
"64","BUNN_11_EKDL210007863-1a-AK18984-AK31192_HLNT5DSX2_L2"
"65","BUNN_12_EKDL210007863-1a-AK27190-AK34205_HLNT5DSX2_L2"
"66","BUNN_14_EKDL210007863-1a-AK18989-AK33821_HLNT5DSX2_L2"
"67","BUNN_15_EKDL210007863-1a-AK19103-AK23729_HLNT5DSX2_L2"
"68","BUNN_16_EKDL210007863-1a-AK19147-AK23730_HLNT5DSX2_L2"
"69","BUNN_17_EKDL210007863-1a-AK19113-AK23731_HLNT5DSX2_L2"
"70","BUNN_18_EKDL210007863-1a-AK19007-AK23732_HLNT5DSX2_L2"
"71","BUNN_19_EKDL210007863-1a-AK18642-AK23733_HLNT5DSX2_L2"
"72","BUNN_20_EKDL210007863-1a-AK19137-AK23734_HLNT5DSX2_L2"
"73","CLEW_02_EKDL210007862-1a-AK19291-AK18809_HLNT5DSX2_L2"
"74","CLEW_03_EKDL210007862-1a-AK15924-AK18825_HLNT5DSX2_L2"
"75","CLEW_04_EKDL210007862-1a-AK19016-AK18839_HLNT5DSX2_L2"
"76","CLEW_05_EKDL210007862-1a-AK19084-AK19669_HLNT5DSX2_L2"
"77","CLEW_06_EKDL210007862-1a-AK16175-AK16176_HLNT5DSX2_L2"
"78","CLEW_08_EKDL210007862-1a-AK16207-AK16208_HLNT5DSX2_L2"
"79","CLEW_09_EKDL210007862-1a-AK19096-AK19674_HLNT5DSX2_L2"
"80","CLEW_10_EKDL210007862-1a-AK15918-AK19682_HLNT5DSX2_L2"
"81","COLN_01_EKDL210004789-1a-AK11204-AK16254_HHJYYDSX2_L2"
"82","COLN_02_EKDL210004790-1a-AK11479-AK16234_HHJYYDSX2_L3"
"83","COLN_03_EKDL210005548-1a-AK11440-AK16251_HHJKNDSX2_L4"
"84","COLN_04_EKDL210004789-1a-AK11665-AK16278_HHJYYDSX2_L2"
"85","COLN_06_EKDL210004790-1a-AK11428-AK16253_HHJYYDSX2_L3"
"86","COLN_07_EKDL210004788-1a-AK7685-AK16294_HHJYYDSX2_L1"
"87","COLN_07_EKDL210009122-1a-AK19208-AK31190_HTVH3DSX2_L3"
"88","COLN_08_EKDL210004790-1a-AK11433-AK13293_HHJYYDSX2_L3"
"89","COLN_09_EKDL210004788-1a-AK11440-AK16251_HHJYYDSX2_L1"
"90","COLN_10_EKDL210009122-1a-AK34058-AK34059_HTVH3DSX2_L3"
"91","COLN_11_EKDL200012859-1a-AK8204-AK9482_HNLVYDSXY_L1"
"92","COLN_12_EKDL210009122-1a-AK31169-AK31170_HTVH3DSX2_L3"
"93","COLN_13_EKDL210004790-1a-AK11584-AK16263_HHJYYDSX2_L3"
"94","COLN_15_EKDL210005548-1a-AK11449-AK16245_HHJKNDSX2_L4"
"95","COLN_17_EKDL210009123-1a-AK19132-AK15917_HTVH3DSX2_L3"
"96","COLN_18_EKDL210009123-1a-AK19076-AK23695_HTVH3DSX2_L3"
"97","COLN_19_EKDL210009123-1a-AK19111-AK23696_HTVH3DSX2_L3"
"98","COLN_20_EKDL210009123-1a-AK19009-AK23697_HTVH3DSX2_L3"
"99","CORS_01_EKDL210004788-1a-AK11479-AK16234_HHJYYDSX2_L1"
"100","CORS_02_EKDL210004790-1a-AK11485-AK16252_HHJYYDSX2_L3"
"101","CORS_03_EKDL210007863-1a-AK19131-AK23741_HLNT5DSX2_L2"
"102","CORS_04_EKDL210007863-1a-AK18983-AK23742_HLNT5DSX2_L2"
"103","CORS_05_EKDL210007863-1a-AK19068-AK23743_HLNT5DSX2_L2"
"104","CORS_06_EKDL210004790-1a-AK11464-AK16277_HHJYYDSX2_L3"
"105","CORS_07_EKDL210007863-1a-AK19095-AK23744_HLNT5DSX2_L2"
"106","CORS_08_EKDL210005548-1a-AK11495-AK16238_HHJKNDSX2_L4"
